Secuencial,Fecha de Análisis,Departamento,Municipio,Cultivo,Estado,Tiempo de establecimiento,Topografia,Drenaje,Riego,Fertilizantes aplicados,pH agua:suelo,Materia organica,Fósforo Bray II,Azufre Fosfato monocalcico,Acidez Intercambiable,Aluminio intercambiable,Calcio intercambiable,Magnesio intercambiable,Potasio intercambiable,Sodio intercambiable,capacidad de intercambio cationico,Conductividad electrica,Hierro disponible olsen,Cobre disponible,Manganeso disponible Olsen,Zinc disponible Olsen,Boro disponible,Hierro disponible doble acido,Cobre disponible doble acido,Manganeso disponible doble acido,Zinc disponible doble  acido,_depto_norm,_cultivo_norm
1.557,26/06/2014,MAGDALENA,SANTA MARTA,Mango,Establecido,Mas de 10 años,No indica,No indica,No Tiene,No indica,8.01,2.149,293.5,3.888,,,10.93,2.035,0.31,0.337,13.61,0.477,5.4,2.4,1.1,1.1,0.499,,,,,MAGDALENA,
1.558,26/06/2014,MAGDALENA,ZONA BANANERA,Mango,Establecido,Mas de 10 años,No indica,No indica,No Tiene,SIN APLICAR,7.67,3.262,232.9,19.82,,,7.675,0.904,0.131,0.56,9.271,0.737,29.7,9.6,1.7,3.2,0.458,,,,,MAGDALENA,
1.561,26/06/2014,MAGDALENA,SANTA MARTA,Mango,Establecido,Mas de 10 años,No indica,No indica,No Tiene,No indica,6.37,1.94,8.56,4.268,,,4.305,1.058,,0.065,5.503,0.305,16.89,1.5,1.5,1.0,0.354,,,,,MAGDALENA,
1.57,26/06/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,Mas de 10 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.36,3.749,19.21,2.624,,,7.787,1.542,0.23,0.038,9.598,0.234,51.9,1.9,6.5,4.5,0.354,,,,,MAGDALENA,
1.579,26/06/2014,MAGDALENA,ZONA BANANERA,Mango,Establecido,Mas de 10 años,No indica,No indica,No Tiene,No indica,6.51,1.175,4.378,3.003,,,4.979,1.912,,0.054,7.01,0.113,19.7,1.6,3.1,0.899,0.313,,,,,MAGDALENA,
1.639,26/06/2014,CÓRDOBA,CERETÉ,Pasto Angleton,Establecido,No indica,Plano,Regular drenaje,No Tiene,Ninguno,5.51,1.646,4.249,13.95,,,5.166,3.022,0.163,0.288,8.64,0.403,75.8,2.5,13.4,1.6,0.113,,,,,CORDOBA,
1.64,26/06/2014,CÓRDOBA,CERETÉ,Pasto Mombaza,Establecido,No indica,Plano,Buen drenaje,No Tiene,Ninguno,6.14,1.646,16.23,8.812,,,5.466,2.22,0.24,0.065,7.992,0.282,56.4,2.4,3.8,2.4,0.113,,,,,CORDOBA,
1.641,26/06/2014,CÓRDOBA,CERETÉ,Pasto Mombaza,Establecido,No indica,Plano,Buen drenaje,No Tiene,Ninguno,5.86,2.184,3.507,6.308,,,6.065,3.269,0.166,0.103,9.604,0.265,55.4,2.8,2.5,1.5,0.113,,,,,CORDOBA,
1.642,26/06/2014,BOLÍVAR,EL CARMEN DE BOLÍVAR,Frijol,Por establecer,No indica,Pendiente,Buen drenaje,No Tiene,No indica,6.16,2.655,5.28,13.42,,,12.54,8.388,0.732,1.387,23.05,0.487,20.39,1.799,1.3,1.3,0.51,,,,,BOLIVAR,Frijol
1.671,18/06/2014,CESAR,VALLEDUPAR,Silvopastoril,Por establecer,No indica,Plano,Buen drenaje,No Tiene,No indica,6.07,3.331,5.689,3.003,,,2.67,0.524,0.46,0.032,3.688,0.237,21.09,1.3,3.8,0.6,0.127,,,,,CESAR,
1.85,17/06/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,De 1 a 5 años,Plano,Buen drenaje,No Tiene,No indica,6.19,2.575,57.4,2.889,,,5.728,0.976,0.246,0.032,6.983,0.154,24.6,1.6,2.5,1.2,0.236,,,,,CESAR,
1.851,17/06/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,De 1 a 5 años,Plano,Buen drenaje,No Tiene,No indica,6.91,2.04,344.9,3.925,,,5.391,0.956,0.345,0.021,6.714,0.143,12.4,2.3,1.4,2.0,0.302,,,,,CESAR,
1.852,17/06/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,De 1 a 5 años,Plano,Buen drenaje,No Tiene,No indica,6.91,2.04,344.9,3.925,,,5.391,0.956,0.345,0.021,6.714,0.143,12.4,2.3,1.4,2.0,0.302,,,,,CESAR,
1.857,17/06/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,De 1 a 5 años,Plano,Buen drenaje,No Tiene,No indica,6.19,2.575,57.4,2.889,,,5.728,0.976,0.246,0.032,6.983,0.154,24.6,1.6,2.5,1.2,0.236,,,,,CESAR,
1.883,18/06/2014,CESAR,VALLEDUPAR,Silvopastoril,Por establecer,No indica,Plano,Buen drenaje,No Tiene,No indica,6.57,2.636,9.888,184.0,,,5.091,2.035,0.179,5.483,12.79,4.282,26.4,1.6,4.3,0.8,0.127,,,,,CESAR,
