Secuencial,Fecha de Análisis,Departamento,Municipio,Cultivo,Estado,Tiempo de establecimiento,Topografia,Drenaje,Riego,Fertilizantes aplicados,pH agua:suelo,Materia organica,Fósforo Bray II,Azufre Fosfato monocalcico,Acidez Intercambiable,Aluminio intercambiable,Calcio intercambiable,Magnesio intercambiable,Potasio intercambiable,Sodio intercambiable,capacidad de intercambio cationico,Conductividad electrica,Hierro disponible olsen,Cobre disponible,Manganeso disponible Olsen,Zinc disponible Olsen,Boro disponible,Hierro disponible doble acido,Cobre disponible doble acido,Manganeso disponible doble acido,Zinc disponible doble  acido,_depto_norm,_cultivo_norm
13.296,21/09/2015,SUCRE,COROZAL,Millo,Por establecer,No indica,Plano,Buen drenaje,No indica,No indica,5.9,1.222,3.246,3.134,,,13.55,6.633,0.126,0.236,20.54,0.198,34.6,1.282,4.272,,0.197,,,,,SUCRE,
13.297,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,No indica,6.05,1.639,6.112,10.8,,,15.79,13.97,0.349,1.481,31.6,0.796,70.63,3.464,14.21,2.073,0.34,,,,,BOLIVAR,
13.298,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No indica,NO,4.74,3.187,45.7,70.42,0.806,0.565,11.15,2.809,0.542,0.267,15.58,0.965,999.2,7.416,16.82,30.66,0.221,,,,,MAGDALENA,
13.3,21/09/2015,SUCRE,SAN LUIS DE SINCÉ,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,CROSSER,6.84,2.709,3.055,3.916,,,36.43,16.06,0.68,0.547,53.72,0.17,8.116,,3.653,,0.245,,,,,SUCRE,
13.301,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,6.11,2.279,5.079,5.168,,,28.49,12.49,0.353,2.092,43.43,0.271,32.89,2.902,7.475,1.032,0.506,,,,,BOLIVAR,
13.302,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No indica,NO,7.24,2.749,5.731,3.29,,,17.72,5.962,0.138,0.309,24.13,0.243,22.49,2.751,1.044,,0.506,,,,,BOLIVAR,
13.328,21/09/2015,SUCRE,SAN LUIS DE SINCÉ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,CROSSER,7.37,3.316,220.9,4.698,,,44.13,10.55,2.068,0.585,57.34,0.319,9.448,1.351,,2.903,0.53,,,,,SUCRE,
13.33,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,5.0,2.674,44.63,156.5,0.163,0.0,13.13,3.502,0.713,0.549,18.06,1.643,975.2,6.221,34.48,29.95,0.221,,,,,MAGDALENA,
13.331,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No indica,NO,5.46,2.41,51.14,46.96,0.0,0.0,16.61,7.101,0.417,0.661,24.79,0.927,320.8,4.447,10.19,4.583,0.221,,,,,MAGDALENA,
13.337,21/09/2015,SUCRE,SAN LUIS DE SINCÉ,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,6.57,2.528,3.001,3.134,,,32.93,14.29,0.407,0.988,48.62,0.228,12.84,1.407,1.232,,0.221,,,,,SUCRE,
13.344,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,6.1,0.753,17.88,3.134,,,2.876,0.8,0.161,0.276,4.115,0.2,41.15,1.026,1.752,2.016,0.269,,,,,BOLIVAR,
13.347,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,6.08,1.414,38.69,4.073,,,4.611,1.169,0.491,0.101,6.373,0.202,49.09,1.06,3.568,1.897,0.221,,,,,BOLIVAR,
13.348,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,7.96,2.742,40.34,7.358,,,45.95,4.673,0.777,0.396,51.8,0.122,11.49,1.19,,,0.435,,,,,BOLIVAR,
13.349,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,5.13,1.336,4.156,9.861,0.868,0.504,13.97,9.902,0.166,2.382,27.29,0.858,66.45,2.288,24.65,2.803,0.269,,,,,BOLIVAR,
13.35,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Ondulado,Regular drenaje,No Tiene,Ninguno,7.71,3.307,335.2,6.263,,,43.82,7.075,0.31,1.36,52.57,1.646,7.279,1.627,,,0.411,,,,,BOLIVAR,
13.351,21/09/2015,SUCRE,SINCELEJO,Millo,Por establecer,No indica,No indica,Buen drenaje,No indica,NO,6.83,1.971,3.789,2.665,,,25.86,11.9,0.382,0.632,38.78,0.366,15.51,1.386,3.806,,0.245,,,,,SUCRE,
13.352,21/09/2015,SUCRE,SINCELEJO,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,UREA,6.77,1.961,5.161,2.821,,,27.09,15.61,0.462,0.722,43.88,0.154,9.864,1.584,2.395,2.093,0.245,,,,,SUCRE,
13.353,21/09/2015,SUCRE,SINCELEJO,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,NUNCA,7.17,2.329,7.592,2.977,,,28.72,16.76,0.414,0.602,46.5,0.151,9.336,1.171,3.081,,0.221,,,,,SUCRE,
13.358,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,5.29,2.579,10.79,6.732,0.122,0.0,16.44,7.927,0.508,1.033,26.03,0.598,88.14,2.903,34.07,3.693,0.245,,,,,BOLIVAR,
13.359,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,NO,6.67,1.4,54.57,4.698,,,5.44,2.264,0.893,0.102,8.7,0.211,46.75,,1.236,1.19,0.269,,,,,MAGDALENA,
13.36,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.78,1.477,11.85,4.073,,,7.677,3.002,0.207,0.104,10.99,0.239,31.55,,3.986,,0.245,,,,,MAGDALENA,
13.361,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.39,1.4,38.68,300.4,0.071,0.0,6.849,3.654,0.146,0.961,11.68,5.589,394.2,2.509,14.66,3.093,0.269,,,,,MAGDALENA,
13.363,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.86,1.219,20.51,4.542,,,5.854,1.931,0.158,0.263,8.207,0.319,27.05,,2.396,,0.221,,,,,MAGDALENA,
13.364,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No indica,POR GRAVEDAD,6.73,1.649,33.5,5.95,,,6.769,2.895,0.333,0.28,10.27,0.252,31.12,1.069,,,0.221,,,,,MAGDALENA,
13.365,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.31,2.61,52.07,231.6,0.071,0.0,12.11,3.883,0.454,0.419,16.93,3.764,490.0,8.435,15.09,8.534,0.221,,,,,MAGDALENA,
13.366,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,No indica,Buen drenaje,No indica,NO,6.45,1.111,192.4,5.637,,,5.074,1.114,0.608,0.155,6.953,0.237,64.35,,,2.49,0.269,,,,,MAGDALENA,
13.367,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.91,2.063,94.03,206.6,,,13.88,4.054,0.855,0.447,19.24,5.216,97.64,3.635,8.438,10.18,0.316,,,,,MAGDALENA,
13.368,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Pendiente,Buen drenaje,No Tiene,NO,6.26,3.35,12.17,8.297,,,51.29,22.35,0.489,0.846,74.98,0.563,7.72,,6.706,,0.34,,,,,MAGDALENA,
13.369,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,NO,6.32,1.395,16.17,4.073,,,5.793,2.693,0.512,0.117,9.116,0.339,34.91,,1.637,,0.316,,,,,MAGDALENA,
13.373,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No indica,NO,5.26,2.846,38.56,34.44,0.183,0.0,13.21,4.257,0.482,0.388,18.52,0.775,770.3,9.162,15.28,31.49,0.34,,,,,MAGDALENA,
13.374,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No indica,No indica,5.23,1.425,4.604,11.26,0.541,0.332,14.1,10.52,0.162,1.811,27.14,1.03,73.45,2.56,26.01,2.943,0.459,,,,,BOLIVAR,
13.376,21/09/2015,BOLÍVAR,CALAMAR,Millo,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,5.62,1.786,9.929,19.09,,,7.62,5.271,0.349,1.51,14.75,0.517,409.1,2.333,9.826,1.842,0.221,,,,,BOLIVAR,
13.381,21/09/2015,MAGDALENA,SANTA BÁRBARA DE PINTO,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.08,1.759,40.16,53.21,,,8.762,2.392,0.591,0.227,11.97,0.783,68.19,4.27,3.601,2.839,0.221,,,,,MAGDALENA,
13.387,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.76,2.65,53.1,7.576,,,18.85,9.343,1.024,0.265,29.48,0.486,84.36,8.727,12.88,2.164,0.139,,,,,BOLIVAR,
13.405,2/10/2015,CESAR,EL PASO,Plátano,Por establecer,No indica,Plano,Regular drenaje,Goteo,No indica,6.71,2.263,96.42,7.725,,,17.01,1.927,0.373,0.048,19.36,0.461,119.6,3.98,2.4,2.995,0.354,,,,,CESAR,Plátano
13.409,30/09/2015,MAGDALENA,ARIGUANÍ,Sorgo,Establecido,De 0 a 1 año,Ondulado,Buen drenaje,No indica,NO,6.28,1.38,5.03,5.276,,,15.69,5.93,0.34,0.72,22.67,0.39,64.92,2.52,4.87,1.689,0.22,,,,,MAGDALENA,Sorgo
13.411,29/09/2015,SUCRE,PALMITO,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,NO,6.19,1.08,1.79,3.97,,,7.44,3.32,0.09,0.54,11.39,0.15,90.36,3.907,9.521,1.098,0.13,,,,,SUCRE,
13.412,29/09/2015,CESAR,PUEBLO BELLO,Cacao,Por establecer,No indica,Pendiente,Mal drenaje,No Tiene,NO,6.41,1.98,14.66,3.81,,,8.72,1.98,0.4,0.42,11.52,0.25,48.19,1.731,7.935,,0.33,,,,,CESAR,Cacao
13.413,29/09/2015,CESAR,PUEBLO BELLO,Cacao,Por establecer,No indica,Pendiente,Mal drenaje,No Tiene,NO,6.51,1.77,12.7,3.48,,,9.3,1.92,0.41,0.53,12.16,0.25,32.67,1.427,5.916,,0.18,,,,,CESAR,Cacao
13.416,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Maíz,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.3,1.95,11.61,4.153,,,18.49,10.88,0.452,0.536,30.37,0.272,58.96,11.2,17.85,2.136,0.43,,,,,BOLIVAR,Maíz
13.417,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.13,1.35,20.29,14.59,,,14.84,9.723,0.674,0.607,25.85,0.746,95.75,8.993,3.158,1.26,0.097,,,,,BOLIVAR,
13.418,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.13,1.35,20.29,14.59,,,14.84,9.723,0.674,0.607,25.85,0.746,95.75,8.993,3.158,1.26,0.097,,,,,BOLIVAR,
13.419,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Regular drenaje,Gravedad,No indica,7.39,2.2,12.84,7.405,,,17.76,6.483,0.304,2.111,26.66,0.555,35.03,5.567,2.407,1.124,0.097,,,,,BOLIVAR,
13.42,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Regular drenaje,Gravedad,No indica,7.39,2.2,12.84,7.405,,,17.76,6.483,0.304,2.111,26.66,0.555,35.03,5.567,2.407,1.124,0.097,,,,,BOLIVAR,
13.422,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Maíz,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.26,1.95,9.239,2.27,,,13.77,6.193,0.347,0.165,20.48,0.232,59.53,7.506,4.368,1.615,0.118,,,,,BOLIVAR,Maíz
13.423,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,No indica,No indica,6.6,1.59,14.15,2.784,,,17.4,8.04,0.335,0.23,26.01,0.157,36.3,7.578,3.715,,0.118,,,,,BOLIVAR,
13.424,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Millo,Por establecer,No indica,Plano,Regular drenaje,Gravedad,No indica,6.49,1.76,30.91,5.351,,,15.01,8.343,0.689,0.211,24.25,0.228,71.04,7.351,3.302,1.342,0.139,,,,,BOLIVAR,
13.425,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Ondulado,Buen drenaje,Gravedad,No indica,5.28,1.6,3.453,2.955,0.595,0.459,4.88,4.609,,0.324,10.48,0.611,102.5,2.29,10.38,,0.118,,,,,BOLIVAR,
13.426,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.2,1.86,11.5,6.378,,,12.61,4.934,0.289,0.147,17.99,0.243,75.13,6.732,9.736,1.181,0.097,,,,,BOLIVAR,
13.427,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.76,2.65,53.1,7.576,,,18.85,9.343,1.024,0.265,29.48,0.486,84.36,8.727,12.88,2.164,0.139,,,,,BOLIVAR,
13.428,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.2,1.86,11.5,6.378,,,12.61,4.934,0.289,0.147,17.99,0.243,75.13,6.732,9.736,1.181,0.097,,,,,BOLIVAR,
13.429,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Maíz,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.56,2.12,15.35,2.612,,,19.98,10.98,0.404,0.403,31.77,0.19,37.47,7.37,9.13,1.169,0.139,,,,,BOLIVAR,Maíz
13.43,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Maíz,Por establecer,No indica,Plano,Buen drenaje,Gravedad,No indica,6.38,2.509,8.543,1.414,,,18.07,8.992,0.254,0.27,27.59,0.341,57.01,6.705,21.72,1.593,0.097,,,,,BOLIVAR,Maíz
13.431,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Pastos,Por establecer,No indica,Plano,Buen drenaje,No indica,No indica,6.6,1.59,14.15,2.784,,,17.4,8.04,0.335,0.23,26.01,0.157,36.3,7.578,3.715,,0.118,,,,,BOLIVAR,
13.432,30/09/2015,BOLÍVAR,MARÍA LA BAJA,Maíz,Por establecer,No indica,Ondulado,Regular drenaje,No indica,No indica,5.77,1.65,4.053,5.009,,,4.634,2.07,0.36,0.241,7.306,0.642,75.25,2.367,13.2,1.701,0.45,,,,,BOLIVAR,Maíz
13.46,2/10/2015,CESAR,EL PASO,Cilantro,Por establecer,No indica,Plano,Buen drenaje,Goteo,No indica,5.07,1.497,17.79,7.072,0.159,0.0,1.477,0.424,,0.027,2.114,0.255,118.2,,1.97,,0.354,,,,,CESAR,
13.49,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,No indica,Buen drenaje,No Tiene,"PASTAR,TRONADOR",6.92,1.35,4.63,2.34,,,20.18,17.45,0.32,0.77,38.72,0.46,10.55,,8.83,1.617,0.13,,,,,BOLIVAR,
13.491,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,4.7,0.69,1.5,2.34,0.349,0.24,0.94,0.33,,0.08,1.739,0.14,49.37,,15.37,,0.16,,,,,BOLIVAR,
13.492,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,4.809,0.63,1.88,2.34,0.409,0.32,1.06,0.35,,0.11,1.939,0.15,73.29,,2.009,,0.18,,,,,SUCRE,
13.493,28/09/2015,BOLÍVAR,MAGANGUÉ,Silvopastoril,Por establecer,No indica,Plano,Buen drenaje,No Tiene,PASTAR,5.12,0.74,2.12,3.48,0.159,0.0,1.28,0.55,0.26,0.18,2.429,0.22,57.48,,8.268,,0.13,,,,,BOLIVAR,
13.494,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,NO,5.2,0.42,1.59,2.5,0.369,0.0,0.95,0.31,,0.09,1.749,0.1,57.67,,,,0.18,,,,,SUCRE,
13.495,28/09/2015,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,5.53,2.74,9.369,8.539,,,18.47,9.15,0.9,0.97,29.48,0.55,120.4,3.557,37.0,5.012,0.16,,,,,MAGDALENA,
13.496,28/09/2015,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No indica,No indica,6.22,1.05,5.21,2.66,,,5.82,1.64,0.18,0.17,7.81,0.13,82.4,,4.155,,0.2,,,,,MAGDALENA,
13.497,28/09/2015,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,Millo,Por establecer,No indica,Pendiente,Buen drenaje,No Tiene,No indica,5.84,0.71,6.05,2.17,,,2.61,1.02,0.09,0.25,3.969,0.14,149.5,1.177,8.074,1.431,0.2,,,,,MAGDALENA,
13.498,28/09/2015,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,Millo,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,No indica,5.58,1.0,3.1,3.48,,,6.29,2.31,0.11,0.22,8.93,0.21,159.2,1.008,6.448,1.18,0.16,,,,,MAGDALENA,
13.499,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.65,1.02,5.72,10.34,,,5.48,3.34,0.37,0.43,9.619,0.2,138.1,2.338,24.26,1.407,0.2,,,,,SUCRE,
13.5,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,5.15,0.54,1.31,2.83,0.389,0.24,1.53,0.41,,0.07,2.409,0.09,61.83,,8.455,,0.16,,,,,BOLIVAR,
13.501,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,7.79,2.35,57.79,9.85,,,23.17,10.16,0.93,0.91,35.16,0.36,19.25,6.02,1.048,1.743,0.49,,,,,SUCRE,
13.502,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.46,1.57,13.24,3.81,,,15.58,3.84,0.42,0.31,20.15,0.31,101.6,7.724,5.115,1.74,0.24,,,,,SUCRE,
13.503,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,5.18,0.54,2.31,2.83,0.289,0.0,0.77,0.3,,0.08,1.449,0.1,59.85,,2.931,,0.13,,,,,SUCRE,
13.504,28/09/2015,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,Millo,Por establecer,No indica,Ondulado,Regular drenaje,No Tiene,NO,7.76,3.14,11.56,4.46,,,21.45,5.97,0.37,0.5,28.29,0.6,55.84,1.45,1.508,1.056,0.31,,,,,MAGDALENA,
13.505,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.71,1.65,6.65,3.64,,,13.85,3.67,0.32,0.75,18.59,0.25,96.95,7.144,3.213,1.585,0.22,,,,,SUCRE,
13.506,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.27,1.46,9.34,2.99,,,12.26,2.78,0.27,0.17,15.47,0.22,94.81,2.886,4.359,,0.22,,,,,SUCRE,
13.507,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,De 1 a 5 años,Plano,Buen drenaje,No indica,GALLINASA,6.57,1.79,7.08,3.15,,,18.98,5.48,0.47,0.41,25.34,0.21,43.49,6.905,3.192,1.542,0.24,,,,,SUCRE,
13.508,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.95,2.31,54.37,3.32,,,18.48,3.9,0.66,0.14,23.18,0.21,42.64,4.017,3.124,1.217,0.38,,,,,SUCRE,
13.509,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,7.24,2.84,22.2,5.28,,,21.18,6.07,0.43,0.23,27.91,0.3,19.51,4.743,2.337,,0.38,,,,,SUCRE,
13.51,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.32,1.21,53.54,5.93,,,20.56,17.45,1.04,1.73,40.77,0.5,39.29,5.557,5.333,2.0,0.24,,,,,SUCRE,
13.511,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.74,2.93,43.94,2.5,,,19.7,4.5,0.91,0.21,25.32,0.23,47.56,4.628,2.501,1.986,0.31,,,,,SUCRE,
13.512,28/09/2015,SUCRE,SANTIAGO DE TOLÚ,Millo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,6.51,1.77,29.86,6.42,,,20.37,14.48,1.22,1.5,37.57,0.43,28.8,5.78,3.888,2.806,0.289,,,,,SUCRE,
13.513,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Ondulado,Buen drenaje,No Tiene,Ninguno,5.24,0.75,1.65,2.17,0.149,0.0,2.319,0.62,,0.07,3.179,0.15,64.9,,13.57,1.167,0.18,,,,,BOLIVAR,
13.514,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,4.75,0.64,1.92,2.17,0.479,0.37,1.2,0.45,,0.09,2.259,0.17,119.8,,1.353,,0.16,,,,,BOLIVAR,
13.515,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Regular drenaje,No Tiene,Ninguno,5.0,0.65,2.37,3.81,0.309,0.12,1.63,0.92,0.24,0.12,3.219,0.28,55.45,,18.97,,0.16,,,,,BOLIVAR,
13.516,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,5.61,0.89,107.8,2.66,,,2.06,0.47,0.14,0.11,2.78,0.14,281.8,1.254,3.043,1.104,0.13,,,,,SUCRE,
13.517,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,4.99,1.12,3.63,2.83,1.878,1.5,1.33,0.52,,0.27,4.038,0.12,87.29,1.729,10.94,,0.13,,,,,SUCRE,
13.518,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,No indica,Regular drenaje,No indica,NUNCA A APLICADO FERTILIZANTES,5.2,0.48,2.5,2.66,0.159,0.0,1.98,0.62,0.1,0.07,2.929,0.16,104.4,,,,0.16,,,,,SUCRE,
13.519,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,5.34,1.12,2.259,2.83,2.447,1.87,2.4,0.83,,0.16,5.917,0.12,52.01,1.451,29.48,,0.16,,,,,SUCRE,
13.52,28/09/2015,BOLÍVAR,MAGANGUÉ,Silvopastoril,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,5.69,1.129,2.18,3.15,,,3.78,2.17,0.12,0.17,6.239,0.19,65.19,,8.108,,0.16,,,,,BOLIVAR,
13.521,28/09/2015,SUCRE,SAN BENITO ABAD,Pastos,Por establecer,No indica,Plano,Regular drenaje,No Tiene,NO,5.37,0.67,4.7,3.15,0.149,0.0,1.09,0.51,0.25,0.08,2.079,0.15,90.47,,3.023,,0.13,,,,,SUCRE,
13.522,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Pendiente,Buen drenaje,No Tiene,Ninguno,6.71,1.12,2.44,2.83,,,12.87,7.4,0.19,0.24,20.7,0.21,52.79,,12.95,8.32,0.18,,,,,BOLIVAR,
13.524,28/09/2015,BOLÍVAR,MAGANGUÉ,Sorgo,Por establecer,No indica,Plano,Buen drenaje,No Tiene,NO,4.87,0.22,1.31,2.5,0.269,0.16,0.6,0.19,,0.06,1.129,0.08,91.41,,,,0.11,,,,,BOLIVAR,Sorgo
13.525,28/09/2015,BOLÍVAR,MAGANGUÉ,Silvopastoril,Por establecer,No indica,Plano,Buen drenaje,No Tiene,MATERO,5.08,0.59,2.86,2.83,0.229,0.0,1.31,0.35,,0.07,1.999,0.14,67.6,,13.82,,0.13,,,,,BOLIVAR,
13.526,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,4.9,0.47,2.33,3.32,0.229,0.1,1.12,0.36,0.18,0.11,1.999,0.34,92.69,,5.463,,0.16,,,,,BOLIVAR,
13.527,28/09/2015,BOLÍVAR,MAGANGUÉ,Sorgo,Por establecer,No indica,No indica,Buen drenaje,No Tiene,Ninguno,8.01,1.21,16.14,2.83,,,22.01,12.59,0.68,0.31,35.59,0.48,5.327,,5.98,5.282,0.18,,,,,BOLIVAR,Sorgo
13.528,28/09/2015,BOLÍVAR,MAGANGUÉ,Pasto Mombaza,Por establecer,No indica,Plano,Buen drenaje,No Tiene,Ninguno,5.099,1.73,2.1,2.5,0.119,0.0,3.84,2.68,0.23,0.11,6.979,0.32,141.2,1.665,24.07,1.472,0.16,,,,,BOLIVAR,
13.529,28/09/2015,BOLÍVAR,MAGANGUÉ,Sorgo,Por establecer,No indica,No indica,Buen drenaje,No Tiene,NUNCA,5.99,0.67,2.02,3.15,,,6.18,2.1,,0.15,8.51,0.16,31.12,,18.32,4.18,0.16,,,,,BOLIVAR,Sorgo
