No,Fecha de registro,departamento revisado,municipio revisado,Cultivo,Variedad o hibrido,Edad del cultivo (AÑOS),"Parte de la planta a analizar (toda la planta, parte aérea, raíz, tubérculo, tallo, hoja, flor, fruto, semilla)","Sintomatología (tamaño, color, deformación)",Fertilizantes aplicados anteriormente,"Rendimiento del cultivo (bueno, regular, malo)",Nitrógeno (N) % STD,Fósforo (P) % STD,Potasio (K) % STD,Calcio (Ca) % STD,Magnesio (Mg) % STD,Sodio (Na) % STD,Azufre (S) % STD,Hierro (Fe) mg/kg STD,Cobre (Cu) mg/kg STD,Manganeso (Mn) mg/kg STD,Zinc (Zn) mg/kg STD,Boro (B) mg/kg STD,_depto_norm,_cultivo_norm
1,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.8,0.38,1.69,0.73,0.38,,0.36,136.28,9.1,83.27,113.28,51.84,ATLANTICO,Yuca
2,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.44,0.38,1.62,0.65,0.35,,0.32,94.62,8.16,153.64,79.4,45.48,ATLANTICO,Yuca
3,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.04,0.37,1.34,0.66,0.38,,0.38,91.61,7.98,74.81,116.97,46.2,ATLANTICO,Yuca
4,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,5.04,0.5,1.73,0.67,0.33,,0.37,94.82,9.15,85.17,176.41,43.25,ATLANTICO,Yuca
5,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.67,0.38,1.38,0.88,0.41,,0.34,124.98,7.99,137.37,181.06,46.62,ATLANTICO,Yuca
6,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.99,0.44,1.52,0.71,0.37,,0.35,107.91,8.81,126.89,204.01,45.38,ATLANTICO,Yuca
7,2023 Jan 03 12:00:00 AM,ATLÁNTICO,PONEDERA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.6,0.52,1.74,0.63,0.31,,0.36,111.63,6.99,69.85,61.78,56.64,ATLANTICO,Yuca
8,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,5.22,0.35,1.58,0.83,0.45,,0.35,173.83,8.57,69.63,124.7,60.33,ATLANTICO,Yuca
9,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,FRIJOL,CAUPI,40 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.91,0.28,2.24,2.63,0.26,0.06,0.3,194.68,7.59,104.48,36.67,64.26,ATLANTICO,Frijol
10,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,5.39,0.34,1.52,0.95,0.39,,0.36,106.12,8.54,83.63,125.38,53.58,ATLANTICO,Yuca
11,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.65,0.39,1.64,1.35,0.5,0.08,0.44,108.4,8.75,127.89,129.34,43.34,ATLANTICO,Yuca
12,2023 Jan 11 12:00:00 AM,ATLÁNTICO,MANATÍ,MAÍZ,V109,4 MESES,HOJAS,VERDE,"MICORRISA,LOMBRICOMPOST",BUENO,3.78,0.41,3.81,0.4,0.26,,0.28,160.57,13.6,50.22,50.01,13.98,ATLANTICO,Maíz
13,2023 Jan 11 12:00:00 AM,ATLÁNTICO,MANATÍ,PLÁTANO,DOMINICO,4 MESES,HOJAS,VERDE,"MICORRISA,LOMBRICOMPOST",BUENO,3.86,0.22,3.64,1.34,0.54,,0.26,160.75,10.0,146.05,17.61,15.82,ATLANTICO,Plátano
14,2023 Jan 11 12:00:00 AM,ATLÁNTICO,PONEDERA,MAÍZ,ICA 109-VARIEDAD,65 DÍAS,HOJAS,SANA,NINGUNO,BUENO,3.39,0.34,2.92,0.35,0.23,,0.22,197.64,9.38,42.11,50.3,15.46,ATLANTICO,Maíz
15,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.09,0.43,1.38,3.97,0.68,0.05,0.23,157.65,6.8,416.46,43.2,49.68,ATLANTICO,Frijol
16,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.72,0.52,1.41,3.15,0.63,0.06,0.26,178.26,9.64,586.63,68.4,63.13,ATLANTICO,Frijol
17,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,48 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.12,0.22,0.87,3.93,0.73,0.04,0.22,200.25,8.67,610.68,58.92,42.47,ATLANTICO,Frijol
18,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.19,0.29,1.04,3.75,0.73,0.04,0.24,274.54,8.85,601.32,74.44,45.94,ATLANTICO,Frijol
19,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,70 DÍAS,HOJAS,SANA,NINGUNO,BUENO,5.0,0.4,2.69,3.21,0.41,,0.27,211.38,4.92,379.68,48.54,49.48,ATLANTICO,Frijol
20,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,60 DÍAS,HOJAS,SANA,NINGUNO,BUENO,4.96,0.65,2.21,2.81,0.43,,0.25,190.21,6.17,428.4,74.56,34.96,ATLANTICO,Frijol
21,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,MAÍZ,ICA 109,70 DÍAS,HOJAS,SANA,NINGUNO,BUENO,2.97,0.33,1.93,0.38,0.12,,0.19,136.85,7.84,43.46,37.54,25.43,ATLANTICO,Maíz
22,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,70 DÍAS,HOJAS,SANA,NINGUNO,BUENO,4.96,0.63,1.76,3.4,0.51,,0.26,189.33,6.76,460.39,80.6,32.77,ATLANTICO,Frijol
23,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,60 DÍAS,HOJAS,SANA,NINGUNO,BUENO,4.63,0.52,1.66,0.82,0.37,,0.31,81.67,7.77,133.57,103.63,22.22,ATLANTICO,Yuca
24,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,90 DÍAS,HOJAS,SANA,NINGUNO,BUENO,5.14,0.39,1.26,0.57,0.42,,0.29,96.48,8.36,121.43,99.9,31.17,ATLANTICO,Yuca
25,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,90 DÍAS,HOJAS,SANA,NINGUNO,BUENO,5.1,0.38,1.17,0.58,0.45,,0.31,120.45,8.93,145.61,114.0,27.1,ATLANTICO,Yuca
26,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,70 DÍAS,HOJAS,SANA,NINGUNO,BUENO,5.13,0.62,1.63,3.42,0.53,,0.28,96.72,7.45,449.94,75.1,35.27,ATLANTICO,Frijol
28,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.53,0.19,1.56,2.39,0.82,,0.27,127.88,3.43,637.81,12.94,11.11,ATLANTICO,Plátano
29,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.74,0.34,1.24,0.7,0.41,,0.36,88.89,7.81,166.77,79.03,29.58,ATLANTICO,Yuca
30,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.67,0.31,1.03,0.73,0.45,,0.35,73.16,7.31,183.94,90.51,27.3,ATLANTICO,Yuca
31,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.61,0.5,1.19,3.03,0.72,,0.27,80.16,7.21,358.13,66.39,38.9,ATLANTICO,Frijol
32,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,4 MESES,HOJAS,SANA,NINGUNO,BUENO,3.21,0.24,2.42,2.08,0.55,,0.22,68.12,4.86,566.69,8.43,10.46,ATLANTICO,Plátano
33,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,4 MESES,HOJAS,SANA,NINGUNO,BUENO,4.23,0.38,1.42,4.63,0.53,,0.25,96.85,5.54,371.06,44.95,39.88,ATLANTICO,Frijol
34,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.63,0.42,1.22,1.11,0.37,,0.32,65.79,6.67,234.69,88.25,25.33,ATLANTICO,Yuca
35,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.05,0.35,2.58,3.01,0.39,0.03,0.28,101.09,4.97,180.75,37.54,52.63,ATLANTICO,Frijol
36,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,4 MESES,HOJAS,SANA,NINGUNO,BUENO,5.45,0.36,2.65,2.22,0.33,0.04,0.28,101.64,5.57,120.83,34.43,52.63,ATLANTICO,Frijol
37,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,YUCA,CHIROSA,4 MESES,HOJAS,SANA,NINGUNO,BUENO,4.84,0.35,1.15,0.76,0.47,,0.33,77.0,7.05,181.97,83.92,32.04,ATLANTICO,Yuca
38,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.09,0.49,0.95,4.91,0.57,,0.24,94.97,5.39,484.37,63.78,29.75,ATLANTICO,Frijol
39,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.2,0.45,1.07,4.98,0.56,,0.23,101.86,5.82,464.18,55.2,23.54,ATLANTICO,Frijol
40,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,3 MESES,HOJAS,SANA,NINGUNO,BUENO,2.38,0.46,2.84,2.2,0.74,,0.2,153.32,3.81,489.18,12.98,11.06,ATLANTICO,Plátano
41,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.68,0.32,1.57,1.75,0.97,,0.32,95.69,5.19,522.37,10.77,11.23,ATLANTICO,Plátano
42,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,3 MESES,HOJAS,SANA,NINGUNO,BUENO,4.89,0.36,1.97,2.14,0.48,0.03,0.25,210.66,6.09,246.45,54.29,52.14,ATLANTICO,Frijol
43,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,3 MESES,HOJAS,SANA,NINGUNO,BUENO,2.22,0.18,1.67,2.43,0.65,,0.17,118.4,3.27,786.55,13.4,13.89,ATLANTICO,Plátano
44,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.75,0.23,3.98,1.9,0.51,,0.21,102.98,4.24,411.49,10.28,15.85,ATLANTICO,Plátano
45,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,3 MESES,HOJAS,SANA,NINGUNO,BUENO,2.59,0.16,1.71,1.6,0.47,,0.18,76.96,4.73,591.42,9.07,11.93,ATLANTICO,Plátano
46,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,3 MESES,HOJAS,SANA,NINGUNO,BUENO,2.34,0.2,2.4,1.28,0.43,,0.22,124.19,5.13,615.98,10.55,14.71,ATLANTICO,Plátano
47,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,3 MESES,HOJAS,SANA,NINGUNO,BUENO,2.59,0.22,2.75,1.54,0.35,,0.2,96.39,3.97,551.94,11.1,14.06,ATLANTICO,Plátano
48,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,PLÁTANO,HARTON,"4 MESES, 3 MESES",HOJAS,SANA,NINGUNO,BUENO,2.97,0.25,3.85,0.87,0.47,,0.24,92.5,7.54,117.28,13.05,16.18,ATLANTICO,Plátano
49,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,4 MESES,HOJAS,SANA,NINGUNO,BUENO,4.72,0.32,1.15,0.95,0.51,,0.32,76.76,6.19,81.77,70.85,67.67,ATLANTICO,Yuca
50,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,MAÍZ,V 109,2 MESES,HOJAS,SANA,NINGUNO,BUENO,2.08,0.25,1.44,0.38,0.31,0.04,0.19,84.93,5.01,53.47,31.15,22.88,ATLANTICO,Maíz
51,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,FRIJOL,V 109,1 MES,HOJAS,SANA,NINGUNO,BUENO,5.73,0.44,2.23,2.06,0.48,,0.35,158.41,10.63,44.71,61.78,46.42,ATLANTICO,Frijol
52,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,MAÍZ,V 109,1 MES,HOJAS,SANA,NINGUNO,BUENO,3.17,0.35,2.84,0.35,0.17,,0.2,237.63,9.69,55.16,39.14,12.75,ATLANTICO,Maíz
53,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,V 109,"4 MESES, 3 MESES",HOJAS,SANA,NINGUNO,BUENO,4.92,0.37,1.31,0.79,0.46,,0.35,100.9,6.74,57.69,94.67,52.3,ATLANTICO,Yuca
54,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,PLÁTANO,V 109,4 MESES,HOJAS,VERDE,"MICORRISAS ,LOMBRICOMPOST",BUENO,3.66,0.27,3.79,1.35,0.61,,0.31,155.0,9.99,104.56,14.75,15.69,ATLANTICO,Plátano
55,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,V 109,4 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.38,0.38,1.47,0.86,0.42,0.03,0.35,90.26,7.82,74.48,148.87,55.41,ATLANTICO,Yuca
56,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROZA,4 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.2,0.34,1.2,1.15,0.5,,0.46,86.97,4.47,44.37,126.11,73.39,ATLANTICO,Yuca
57,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROZA,4 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.41,0.34,1.3,1.03,0.47,,0.32,103.49,6.79,172.79,190.83,63.42,ATLANTICO,Yuca
58,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROZA,4 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.18,0.34,1.17,1.1,0.46,,0.35,110.33,6.9,243.13,203.16,59.0,ATLANTICO,Yuca
59,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,MAÍZ,V 109,1 MES,HOJAS,VERDE,NO APLICA,BUENO,3.67,0.28,3.71,0.47,0.22,,0.23,422.48,13.61,103.15,46.8,12.09,ATLANTICO,Maíz
60,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,MAÍZ,V 109,4 MESES,HOJAS,VERDE,"MICORRISAS ,LOMBRICOMPOST",BUENO,2.61,0.3,1.72,0.7,0.22,0.03,0.18,287.56,8.92,53.11,29.79,17.82,ATLANTICO,Maíz
61,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,PLÁTANO,HARTON,4 MESES,HOJAS,VERDE,NO APLICA,BUENO,2.13,0.35,4.88,0.8,0.27,,0.22,94.74,5.4,314.81,12.71,20.76,ATLANTICO,Plátano
62,2023 Feb 03 12:00:00 AM,ATLÁNTICO,MANATÍ,FRIJOL,CAUPI,4 MESES,HOJAS,VERDE,"MICORRISAS ,LOMBRICOMPOST",BUENO,5.17,0.42,1.42,2.21,0.67,0.04,0.29,658.93,12.3,70.65,67.06,51.32,ATLANTICO,Frijol
63,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,38 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,3.01,0.22,4.83,0.72,0.34,,0.26,175.61,8.37,151.24,17.85,26.31,ATLANTICO,Plátano
64,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,15 DÍAS / 40 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.81,0.51,3.46,0.99,0.29,,0.36,105.23,8.32,101.92,14.31,21.74,ATLANTICO,Plátano
65,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,30 DÍAS / 55 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.89,0.25,4.03,0.68,0.33,,0.25,99.41,8.31,180.02,13.31,17.0,ATLANTICO,Plátano
66,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,86 DÍAS / 48 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.48,0.28,4.16,0.91,0.32,,0.26,88.8,6.61,143.81,15.43,27.3,ATLANTICO,Plátano
67,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,FRIJOL,CAUPI,18 DÍAS / 64 DÍAS / 54 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.16,0.24,2.69,2.87,0.32,0.04,0.34,114.73,9.7,68.81,74.31,19.3,ATLANTICO,Frijol
68,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,93 DÍAS / 76 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.62,0.2,4.24,0.85,0.35,,0.27,227.44,6.27,224.58,13.55,55.57,ATLANTICO,Plátano
69,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,FRIJOL,CAUPI,32 DÍAS / 68 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.88,0.42,2.63,2.1,0.47,0.08,0.35,825.44,13.55,87.8,63.26,19.2,ATLANTICO,Frijol
70,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,FRIJOL,CAUPI,52 DÍAS / 87 DÍAS / 60 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.8,0.4,2.3,2.69,0.27,0.06,0.36,260.45,10.57,87.84,41.07,18.47,ATLANTICO,Frijol
71,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,96 DÍAS / 58 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,3.57,0.27,4.73,0.83,0.35,,0.26,95.98,10.96,51.16,13.15,16.34,ATLANTICO,Plátano
72,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,15 DÍAS / 40 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.61,0.52,1.69,1.52,0.46,,0.44,125.86,7.17,31.85,229.84,60.56,ATLANTICO,Yuca
73,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,30 DÍAS / 55 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.17,0.29,1.1,0.86,0.45,,0.32,160.85,7.22,191.31,151.71,114.52,ATLANTICO,Yuca
74,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,86 DÍAS / 48 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.5,0.33,1.37,1.44,0.44,,0.38,121.92,6.98,80.32,160.83,65.54,ATLANTICO,Yuca
75,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,18 DÍAS / 64 DÍAS / 54 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.23,0.26,3.91,0.79,0.26,,0.27,79.04,4.67,88.11,14.66,38.57,ATLANTICO,Plátano
76,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,93 DÍAS / 76 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.35,0.3,1.25,1.07,0.36,,0.34,91.45,6.66,73.28,172.24,52.47,ATLANTICO,Yuca
77,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,32 DÍAS / 68 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.66,0.37,4.02,0.99,0.37,,0.34,219.68,6.53,57.89,16.27,24.35,ATLANTICO,Plátano
78,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,PLÁTANO,DOMINICO,52 DÍAS / 87 DÍAS / 60 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.19,0.43,4.86,0.59,0.3,,0.26,90.67,7.51,70.66,14.37,19.2,ATLANTICO,Plátano
79,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,MAÍZ,V 109,96 DÍAS / 58 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.84,0.36,2.48,0.32,0.13,0.03,0.19,116.15,9.09,15.02,25.37,11.11,ATLANTICO,Maíz
80,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,18 DÍAS / 64 DÍAS / 54 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.65,0.28,1.31,1.36,0.41,,0.31,121.18,7.83,74.11,182.53,102.39,ATLANTICO,Yuca
81,2023 Feb 03 12:00:00 AM,ATLÁNTICO,LURUACO,MAÍZ,V 109,52 DÍAS / 87 DÍAS / 60 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,1.87,0.46,1.93,0.37,0.18,0.03,0.17,66.08,4.97,15.57,29.56,14.55,ATLANTICO,Maíz
82,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,1.84,0.29,2.12,2.21,0.99,0.04,0.23,216.13,3.65,1048.43,15.93,37.92,ATLANTICO,Plátano
83,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.57,0.29,3.05,1.89,0.72,0.05,0.27,105.17,3.86,371.39,14.28,26.15,ATLANTICO,Plátano
84,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,1.6,0.49,3.58,1.43,0.39,0.04,0.22,119.19,4.41,525.84,12.57,24.68,ATLANTICO,Plátano
85,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,1.69,0.2,2.9,1.68,0.43,,0.8,409.74,4.46,882.02,13.1,19.29,ATLANTICO,Plátano
86,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,1.4,0.19,2.84,1.39,0.48,0.03,0.22,223.4,4.1,1793.84,12.78,23.86,ATLANTICO,Plátano
87,2023 Feb 03 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,PLÁTANO,HARTON,120 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,2.12,0.22,2.94,1.68,0.41,0.03,0.23,140.12,5.6,722.88,14.04,15.85,ATLANTICO,Plátano
88,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,PLÁTANO,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.69,0.72,2.89,1.3,0.4,,0.27,173.64,5.99,115.35,17.24,18.63,ATLANTICO,Plátano
89,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,YUCA,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,4.79,0.41,1.53,0.78,0.43,,0.34,130.69,5.91,126.17,86.37,111.48,ATLANTICO,Yuca
90,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,PLÁTANO,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.93,0.3,3.63,1.72,0.62,,0.23,148.77,3.76,364.83,14.24,28.44,ATLANTICO,Plátano
91,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,PLÁTANO,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,3.91,0.29,3.31,0.62,0.42,,0.3,112.84,7.5,491.98,15.02,27.62,ATLANTICO,Plátano
92,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,PLÁTANO,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,3.06,0.39,4.68,1.03,0.52,,0.25,150.17,6.29,491.93,13.87,24.35,ATLANTICO,Plátano
93,2023 Feb 03 12:00:00 AM,ATLÁNTICO,PONEDERA,MAÍZ,VARIEDAD,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.96,0.31,1.74,0.41,0.17,0.03,0.19,89.59,7.67,36.62,39.13,20.1,ATLANTICO,Maíz
94,2023 Feb 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROZA,4 MESES,HOJAS,SANA,NINGUNO,BUENO,4.25,0.37,1.22,0.88,0.43,,0.31,76.22,5.1,208.44,71.85,49.36,ATLANTICO,Yuca
124,2023 Feb 13 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,PLÁTANO,HARTON,4 MESES,HOJAS,SANA,NINGUNO,BUENO,2.54,0.15,1.22,2.0,0.47,,0.18,121.68,3.57,893.14,12.74,12.55,ATLANTICO,Plátano
125,2023 Feb 13 12:00:00 AM,ATLÁNTICO,SANTO TOMÁS,FRIJOL,CAUPI,5 MESES,HOJAS,SANA,NINGUNO,BUENO,4.65,0.4,1.44,4.15,0.49,0.03,0.32,191.85,8.47,315.85,51.72,50.39,ATLANTICO,Frijol
